"Nr","Funktion","Original-Code (TypeScript)","Legacy-JUCE (C++)","Neuer Code (C++)","Kommentar"
"1","Type: DriftTarget","export type DriftTarget =
  | 'alpha'
  | 'sem_axis_1' | 'sem_axis_2' | 'sem_axis_3'
  | 'wt_scan'
  | 'none'","enum Target
{
    None = -1,
    Alpha = 0,
    SemAxis1,
    SemAxis2,
    SemAxis3,
    WtScan,
    NumTargets
};","","TS: string union mit 'none'. JUCE: int enum, None=-1 intern aber APVTS index 0=None, 1=Alpha etc. Mapping verschoben um 1."
"2","DRIFT_TARGETS Array","export const DRIFT_TARGETS: DriftTarget[] = [
  'none', 'alpha', 'sem_axis_1', 'sem_axis_2', 'sem_axis_3', 'wt_scan',
]","(nicht vorhanden)","","FEHLT in JUCE. Kein explizites Array der Target-Namen."
"3","Type: DriftWaveform","export type DriftWaveform = 'sine' | 'triangle' | 'square' | 'sawtooth'","enum Waveform { Sine = 0, Triangle, Sawtooth, Square };","","TS: string union. JUCE: int enum. REIHENFOLGE ABWEICHEND: TS = sine,triangle,square,sawtooth. JUCE = Sine,Triangle,Sawtooth,Square."
"4","Interface: DriftLfoState","export interface DriftLfoState {
  rate: Ref<number>      // Hz (0.001 - 2)
  depth: Ref<number>     // 0 - 1 (exponential mapped)
  waveform: Ref<DriftWaveform>
  target: Ref<DriftTarget>
}","struct InternalLFO
{
    double phase = 0.0;
    float rate = 0.01f;
    float depth = 0.0f;
    int target = 0;
    int waveform = Sine;
};","","JUCE InternalLFO enthaelt zusaetzlich phase. TS hat phase separat im phases[] Array."
"5","TARGET_RANGES","export const TARGET_RANGES: Record<string, { min: number; max: number }> = {
  alpha:      { min: -2, max: 2 },
  sem_axis_1: { min: -2, max: 2 },
  sem_axis_2: { min: -2, max: 2 },
  sem_axis_3: { min: -2, max: 2 },
  wt_scan:    { min: 0, max: 1 },
}","static float halfRangeForTarget(int target)
{
    switch (target)
    {
        case 1: return 2.0f;  // alpha: [-2, 2]
        case 2: return 2.0f;  // sem_axis_1
        case 3: return 2.0f;  // sem_axis_2
        case 4: return 2.0f;  // sem_axis_3
        case 5: return 0.5f;  // wt_scan: [0, 1]
        default: return 0.0f; // None
    }
}","","TS: min/max als Record, halfRange berechnet als (max-min)/2 im tick. JUCE: halfRange direkt als statische Funktion. Aequivalent: alpha halfRange=2, wt_scan halfRange=0.5. OK."
"6","Rate-Konstanten","const DRIFT_RATE_MIN = 0.001
const DRIFT_RATE_MAX = 2","(nicht vorhanden)","","FEHLT in JUCE. Keine Rate-Mapping-Konstanten, da JUCE direkt Hz-Wert empfaengt."
"7","sliderToDriftRate","export function sliderToDriftRate(v: number): number {
  return DRIFT_RATE_MIN * Math.pow(DRIFT_RATE_MAX / DRIFT_RATE_MIN, v)
}","(nicht vorhanden)","","FEHLT in JUCE. Exponentielle Rate-Konvertierung 0.001*pow(2000,v). GUI/APVTS muesste diese Kurve implementieren."
"8","driftRateToSlider","export function driftRateToSlider(hz: number): number {
  return Math.log(Math.max(DRIFT_RATE_MIN, hz) / DRIFT_RATE_MIN) / Math.log(DRIFT_RATE_MAX / DRIFT_RATE_MIN)
}","(nicht vorhanden)","","FEHLT in JUCE. Inverse Konvertierung Hz->Slider."
"9","formatDriftRate","export function formatDriftRate(hz: number): string {
  if (hz >= 1) return `${hz.toFixed(2)} Hz`
  if (hz >= 0.01) return `${hz.toFixed(3)} Hz`
  return `${hz.toFixed(4)} Hz`
}","(nicht vorhanden)","","FEHLT in JUCE. Display-Formatierung, GUI-seitig."
"10","Depth-Konstanten","const DRIFT_DEPTH_MIN = 0.001
const DRIFT_DEPTH_MAX = 1","(nicht vorhanden)","","FEHLT in JUCE. Keine Depth-Mapping-Konstanten."
