"Nr","Funktion","Original-Code (TypeScript)","Legacy-JUCE (C++)","Neuer Code (C++)","Kommentar"
"1","Interface: Step","export interface Step {
  active: boolean
  semitone: number   // -24 to +24 offset from base note (C3 = 0)
  velocity: number   // 0-1
  gate: number       // 0-1 fraction of step duration
  glide: boolean
}","struct Step
{
    int note = 60;
    float velocity = 0.8f;
    float gate = 0.8f;
    bool enabled = true;
    bool glide = false;
};","","KRITISCH: TS speichert semitone-Offset (-24..+24), JUCE speichert absoluten MIDI note (60+semitone). TS: active, JUCE: enabled."
"2","Interface: Preset","export interface Preset {
  name: string
  steps: Step[]
}","struct PresetData {
    const char* name;
    const Step* steps;
    int count;
};","","JUCE hat zusaetzlich count. OK."
"3","StepCountOption","export type StepCountOption = 5 | 8 | 10 | 16 | 32
export const STEP_COUNT_OPTIONS: StepCountOption[] = [5, 8, 10, 16, 32]","static constexpr int MAX_STEPS = 64;","","TS: diskrete Auswahl 5/8/10/16/32. JUCE: nur MAX_STEPS=64, keine StepCountOption-Einschraenkung. Logik fuer setNumSteps() ist frei 1-64."
"4","NoteDivision","export type NoteDivision = '1/1' | '1/2' | '1/4' | '1/8' | '1/16'
export const NOTE_DIVISIONS: NoteDivision[] = ['1/1', '1/2', '1/4', '1/8', '1/16']","enum Division { Div_1_1 = 0, Div_1_2, Div_1_4, Div_1_8, Div_1_16 };","","TS: string type. JUCE: int enum. Gleiche 5 Optionen. OK."
"5","DIVISION_FACTORS","const DIVISION_FACTORS: Record<NoteDivision, number> = {
  '1/1': 4, '1/2': 2, '1/4': 1, '1/8': 0.5, '1/16': 0.25,
}","static constexpr float DIVISION_FACTORS[] = { 4.0f, 2.0f, 1.0f, 0.5f, 0.25f };","","Werte identisch. OK."
"6","makeStep Helper","function makeStep(semitone = 0, velocity = 0.8, gate = 0.8, active = true, glide = false): Step {
  return { active, semitone, velocity, gate, glide }
}","static constexpr T5ynthStepSequencer::Step mkStep(int semi, float vel, float gate, bool active = true, bool glide = false)
{
    return { 60 + semi, vel, gate, active, glide };
}
static constexpr T5ynthStepSequencer::Step REST = { 60, 0.0f, 0.0f, false, false };","","TS makeStep speichert semitone direkt. JUCE mkStep konvertiert zu 60+semi. JUCE hat zusaetzlich REST-Konstante. TS REST = makeStep(0, 0, 0, false)."
"7","Preset: eastcoast (16 steps)","name: 'eastcoast',
steps: [
  makeStep(0, 0.79, 0.5),
  makeStep(12, 0.63, 0.25),
  makeStep(7, 0.63, 0.5),
  makeStep(12, 0.63, 0.25),
  makeStep(0, 0.87, 0.5),
  makeStep(12, 0.63, 0.25),
  makeStep(10, 0.63, 0.5),
  makeStep(12, 0.63, 0.25),
  makeStep(0, 0.79, 0.5),
  makeStep(12, 0.63, 0.25),
  makeStep(3, 0.63, 0.5),
  makeStep(12, 0.63, 0.25),
  makeStep(0, 0.87, 0.5),
  makeStep(12, 0.63, 0.25),
  makeStep(5, 0.71, 0.8),
  makeStep(7, 0.47, 0.25),
]","static constexpr Step P_EASTCOAST[] = {
    mkStep(0,0.79f,0.5f), mkStep(12,0.63f,0.25f), mkStep(7,0.63f,0.5f), mkStep(12,0.63f,0.25f),
    mkStep(0,0.87f,0.5f), mkStep(12,0.63f,0.25f), mkStep(10,0.63f,0.5f), mkStep(12,0.63f,0.25f),
    mkStep(0,0.79f,0.5f), mkStep(12,0.63f,0.25f), mkStep(3,0.63f,0.5f), mkStep(12,0.63f,0.25f),
    mkStep(0,0.87f,0.5f), mkStep(12,0.63f,0.25f), mkStep(5,0.71f,0.8f), mkStep(7,0.47f,0.25f),
};","","Alle 16 Steps identisch. OK."
"8","Preset: westcoast (5 steps)","name: 'westcoast',
steps: [
  makeStep(0, 1.0, 0.8),
  makeStep(19, 0.47, 1.0),
  makeStep(0, 0, 0, false),
  makeStep(24, 0.79, 0.1),
  makeStep(3, 0.31, 0.4),
]","static constexpr Step P_WESTCOAST[] = {
    mkStep(0,1.0f,0.8f), mkStep(19,0.47f,1.0f), REST, mkStep(24,0.79f,0.1f), mkStep(3,0.31f,0.4f),
};","","Alle 5 Steps identisch. REST = makeStep(0,0,0,false). OK."
"9","Preset: synthwave (16 steps)","name: 'synthwave',
steps: [
  makeStep(0, 0, 0, false),
  makeStep(0, 0.79, 0.4),
  makeStep(0, 0.79, 0.4),
  makeStep(3, 0.87, 0.4),
  makeStep(0, 0, 0, false),
  makeStep(0, 0.79, 0.4),
  makeStep(0, 0.79, 0.4),
  makeStep(3, 0.87, 0.4),
  makeStep(0, 0, 0, false),
  makeStep(0, 0.79, 0.4),
  makeStep(0, 0.79, 0.4),
  makeStep(7, 0.87, 0.4),
  makeStep(0, 0, 0, false),
  makeStep(0, 0.79, 0.4),
  makeStep(0, 0.79, 0.4),
  makeStep(7, 0.87, 0.4),
]","static constexpr Step P_SYNTHWAVE[] = {
    REST, mkStep(0,0.79f,0.4f), mkStep(0,0.79f,0.4f), mkStep(3,0.87f,0.4f),
    REST, mkStep(0,0.79f,0.4f), mkStep(0,0.79f,0.4f), mkStep(3,0.87f,0.4f),
    REST, mkStep(0,0.79f,0.4f), mkStep(0,0.79f,0.4f), mkStep(7,0.87f,0.4f),
    REST, mkStep(0,0.79f,0.4f), mkStep(0,0.79f,0.4f), mkStep(7,0.87f,0.4f),
};","","Alle 16 Steps identisch. OK."
"10","Preset: techno/acid (16 steps)","name: 'techno',
steps: [
  makeStep(0, 0, 0, false),
  makeStep(0, 0.79, 0.5),
  makeStep(0, 0.63, 1.0),
  makeStep(12, 1.0, 0.5, true, true),
  makeStep(0, 0, 0, false),
  makeStep(0, 0.79, 0.5),
  makeStep(0, 0, 0, false),
  makeStep(0, 0.79, 0.5),
  makeStep(0, 0.63, 1.0),
  makeStep(3, 1.0, 1.0, true, true),
  makeStep(3, 0.63, 1.0),
  makeStep(-5, 0.63, 0.5, true, true),
  makeStep(0, 1.0, 0.5, true, true),
  makeStep(0, 0, 0, false),
  makeStep(12, 0.63, 0.5),
  makeStep(0, 0, 0, false),
]","static constexpr Step P_TECHNO[] = {
    REST, mkStep(0,0.79f,0.5f), mkStep(0,0.63f,1.0f), mkStep(12,1.0f,0.5f,true,true),
    REST, mkStep(0,0.79f,0.5f), REST, mkStep(0,0.79f,0.5f),
    mkStep(0,0.63f,1.0f), mkStep(3,1.0f,1.0f,true,true), mkStep(3,0.63f,1.0f), mkStep(-5,0.63f,0.5f,true,true),
    mkStep(0,1.0f,0.5f,true,true), REST, mkStep(12,0.63f,0.5f), REST,
};","","Alle 16 Steps identisch inkl. glide-Flags. OK."
